alpha,filter,flux,lh,logg,meta,teff,vtur,wavelength
0,Liverpool/IOO.SDSS-r,10842583.615332,1.25,1,-0.5,6250,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,10743626.967791,1.25,1.5,-0.5,6250,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,10628191.932097,1.25,2,-0.5,6250,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,10504514.937488,1.25,2.5,-0.5,6250,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,10382651.90548,1.25,3,-0.5,6250,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,10277323.50813,1.25,3.5,-0.5,6250,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,10198095.197178,1.25,4,-0.5,6250,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,10158838.582929,1.25,4.5,-0.5,6250,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,10167805.691587,1.25,5,-0.5,6250,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,12600265.649831,1.25,0.5,-0.5,6500,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,12598413.692256,1.25,1,-0.5,6500,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,12538129.032748,1.25,1.5,-0.5,6500,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,12421215.615219,1.25,2,-0.5,6500,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,12276918.302443,1.25,2.5,-0.5,6500,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,12121202.259828,1.25,3,-0.5,6500,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,11969533.528424,1.25,3.5,-0.5,6500,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,11838331.120193,1.25,4,-0.5,6500,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,11748226.605239,1.25,4.5,-0.5,6500,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,11714146.534951,1.25,5,-0.5,6500,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,14465215.41993,1.25,0.5,-0.5,6750,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,14429395.392837,1.25,1,-0.5,6750,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,14436868.019765,1.25,1.5,-0.5,6750,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,14363516.065993,1.25,2,-0.5,6750,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,14216246.738284,1.25,2.5,-0.5,6750,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,14033782.789092,1.25,3,-0.5,6750,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,13837308.192703,1.25,3.5,-0.5,6750,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,13649120.816641,1.25,4,-0.5,6750,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,13495427.953878,1.25,4.5,-0.5,6750,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,13397644.641555,1.25,5,-0.5,6750,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,16482502.82228,1.25,0.5,-0.5,7000,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,16434596.572574,1.25,1,-0.5,7000,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,16405805.915076,1.25,1.5,-0.5,7000,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,16409545.212775,1.25,2,-0.5,7000,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,16304736.369093,1.25,2.5,-0.5,7000,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,16113537.141859,1.25,3,-0.5,7000,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,15882027.309644,1.25,3.5,-0.5,7000,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,15639442.547464,1.25,4,-0.5,7000,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,15416589.409552,1.25,4.5,-0.5,7000,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,15243063.197577,1.25,5,-0.5,7000,2,6120.6481623918
