atmosphere,feh,filter,flux,logg,teff,wavelength
Spectrum,0,Palomar/ZTF.g,30592681.318111,3.5,7250,4746.4797383749
Spectrum,0,Palomar/ZTF.g,29660239.312306,4,7250,4746.4797383749
Spectrum,0,Palomar/ZTF.g,28781921.531185,4.5,7250,4746.4797383749
Spectrum,0,Palomar/ZTF.g,28004652.848572,5,7250,4746.4797383749
Spectrum,0,Palomar/ZTF.g,38892965.928894,0.5,7500,4746.4797383749
Spectrum,0,Palomar/ZTF.g,39593675.69851,1,7500,4746.4797383749
Spectrum,0,Palomar/ZTF.g,39613100.908644,1.5,7500,4746.4797383749
Spectrum,0,Palomar/ZTF.g,39199347.04633,2,7500,4746.4797383749
Spectrum,0,Palomar/ZTF.g,38458049.406597,2.5,7500,4746.4797383749
Spectrum,0,Palomar/ZTF.g,37279485.800089,3,7500,4746.4797383749
Spectrum,0,Palomar/ZTF.g,36036156.985321,3.5,7500,4746.4797383749
Spectrum,0,Palomar/ZTF.g,34852930.110705,4,7500,4746.4797383749
Spectrum,0,Palomar/ZTF.g,33724698.119722,4.5,7500,4746.4797383749
Spectrum,0,Palomar/ZTF.g,32695351.20803,5,7500,4746.4797383749
Spectrum,0,Palomar/ZTF.g,45025919.292403,1,7750,4746.4797383749
Spectrum,0,Palomar/ZTF.g,45385361.698882,1.5,7750,4746.4797383749
Spectrum,0,Palomar/ZTF.g,45145745.123256,2,7750,4746.4797383749
Spectrum,0,Palomar/ZTF.g,44527322.258669,2.5,7750,4746.4797383749
Spectrum,0,Palomar/ZTF.g,43543113.914718,3,7750,4746.4797383749
Spectrum,0,Palomar/ZTF.g,42088134.536152,3.5,7750,4746.4797383749
Spectrum,0,Palomar/ZTF.g,40602246.784434,4,7750,4746.4797383749
Spectrum,0,Palomar/ZTF.g,39195972.037232,4.5,7750,4746.4797383749
Spectrum,0,Palomar/ZTF.g,37876854.81649,5,7750,4746.4797383749
Spectrum,0,Palomar/ZTF.g,50042056.068426,1,8000,4746.4797383749
Spectrum,0,Palomar/ZTF.g,51178510.558237,1.5,8000,4746.4797383749
Spectrum,0,Palomar/ZTF.g,51215535.699177,2,8000,4746.4797383749
Spectrum,0,Palomar/ZTF.g,50724898.609007,2.5,8000,4746.4797383749
Spectrum,0,Palomar/ZTF.g,49867809.054054,3,8000,4746.4797383749
Spectrum,0,Palomar/ZTF.g,48607926.990915,3.5,8000,4746.4797383749
Spectrum,0,Palomar/ZTF.g,46898643.646374,4,8000,4746.4797383749
Spectrum,0,Palomar/ZTF.g,45176934.954289,4.5,8000,4746.4797383749
Spectrum,0,Palomar/ZTF.g,43560406.73086,5,8000,4746.4797383749
Spectrum,0,Palomar/ZTF.g,54227216.104348,1,8250,4746.4797383749
Spectrum,0,Palomar/ZTF.g,56738600.285834,1.5,8250,4746.4797383749
Spectrum,0,Palomar/ZTF.g,57246130.588223,2,8250,4746.4797383749
Spectrum,0,Palomar/ZTF.g,57000725.108532,2.5,8250,4746.4797383749
Spectrum,0,Palomar/ZTF.g,56293223.64728,3,8250,4746.4797383749
Spectrum,0,Palomar/ZTF.g,55194051.432049,3.5,8250,4746.4797383749
Spectrum,0,Palomar/ZTF.g,53618776.366025,4,8250,4746.4797383749
Spectrum,0,Palomar/ZTF.g,51651140.067091,4.5,8250,4746.4797383749
Spectrum,0,Palomar/ZTF.g,49729821.693862,5,8250,4746.4797383749
Synspec,0,Palomar/ZTF.g,60551516.329596,1.5,8500,4746.4797383749
Synspec,0,Palomar/ZTF.g,61811606.745261,2,8500,4746.4797383749
Synspec,0,Palomar/ZTF.g,61988186.462111,2.5,8500,4746.4797383749
Synspec,0,Palomar/ZTF.g,61625388.680137,3,8500,4746.4797383749
Synspec,0,Palomar/ZTF.g,60860401.574489,3.5,8500,4746.4797383749
Synspec,0,Palomar/ZTF.g,59713740.331135,4,8500,4746.4797383749
Synspec,0,Palomar/ZTF.g,58142185.731671,4.5,8500,4746.4797383749
Synspec,0,Palomar/ZTF.g,56243510.765792,5,8500,4746.4797383749
Synspec,0,Palomar/ZTF.g,69686286.72172,1.5,9000,4746.4797383749
Synspec,0,Palomar/ZTF.g,72395321.582476,2,9000,4746.4797383749
Synspec,0,Palomar/ZTF.g,73230206.186076,2.5,9000,4746.4797383749
Synspec,0,Palomar/ZTF.g,73278795.280563,3,9000,4746.4797383749
Synspec,0,Palomar/ZTF.g,72872725.300308,3.5,9000,4746.4797383749
Synspec,0,Palomar/ZTF.g,72080396.535739,4,9000,4746.4797383749
Synspec,0,Palomar/ZTF.g,70878382.085729,4.5,9000,4746.4797383749
Synspec,0,Palomar/ZTF.g,69252447.939439,5,9000,4746.4797383749
Synspec,0,Palomar/ZTF.g,82685956.541852,2,9500,4746.4797383749
Synspec,0,Palomar/ZTF.g,84118864.106822,2.5,9500,4746.4797383749
Synspec,0,Palomar/ZTF.g,84465895.128201,3,9500,4746.4797383749
Synspec,0,Palomar/ZTF.g,84254108.113999,3.5,9500,4746.4797383749
Synspec,0,Palomar/ZTF.g,83693484.841199,4,9500,4746.4797383749
Synspec,0,Palomar/ZTF.g,82791887.495719,4.5,9500,4746.4797383749
Synspec,0,Palomar/ZTF.g,81499095.58656,5,9500,4746.4797383749
Synspec,0,Palomar/ZTF.g,93112771.970484,2,10000,4746.4797383749
Synspec,0,Palomar/ZTF.g,94983012.073543,2.5,10000,4746.4797383749
Synspec,0,Palomar/ZTF.g,95540046.544817,3,10000,4746.4797383749
Synspec,0,Palomar/ZTF.g,95442293.225028,3.5,10000,4746.4797383749
Synspec,0,Palomar/ZTF.g,94982611.864127,4,10000,4746.4797383749
Synspec,0,Palomar/ZTF.g,94235838.935832,4.5,10000,4746.4797383749
Synspec,0,Palomar/ZTF.g,93131293.723845,5,10000,4746.4797383749
Synspec,0,Palomar/ZTF.g,103751980.64088,2,10500,4746.4797383749
Synspec,0,Palomar/ZTF.g,106043480.55806,2.5,10500,4746.4797383749
Synspec,0,Palomar/ZTF.g,106726404.45331,3,10500,4746.4797383749
Synspec,0,Palomar/ZTF.g,106660633.58359,3.5,10500,4746.4797383749
Synspec,0,Palomar/ZTF.g,106204730.73614,4,10500,4746.4797383749
Synspec,0,Palomar/ZTF.g,105487134.85551,4.5,10500,4746.4797383749
Synspec,0,Palomar/ZTF.g,104502084.84105,5,10500,4746.4797383749
Synspec,0,Palomar/ZTF.g,117276920.99439,2.5,11000,4746.4797383749
Synspec,0,Palomar/ZTF.g,118092224.65789,3,11000,4746.4797383749
